,training_data_thu.csv_diff,count1,training_data_ICTCLAS.csv_diff,count2,training_data_thu.csv_SegmentedInput,training_data_ICTCLAS.csv_SegmentedInput
4655,! 两 ! 个 ! 网银卡,3,! 两个 ! 网 ! 银 ! 卡,4,我 有 两 个 网银卡 ， 怎么 互 转,我 有 两个 网 银 卡 ， 怎么 互 转
4656,! 网银,1,! 网 ! 银,2,怎么 才 能 进行 网银 账户 互 转,怎么 才 能 进行 网 银 账户 互 转
4657,! 网银,1,! 网 ! 银,2,网银 账户 互 转 的 功能,网 银 账户 互 转 的 功能
4658,! 一 ! 张 ! 一 ! 张 ! 银卡,5,! 一张 ! 一张 ! 银 ! 卡,4,我 想 把 一 张 网 银卡 的 资金 转 到 另 一 张 网 银卡,我 想 把 一张 网 银卡 的 资金 转 到 另 一张 网 银 卡
4659,! 两 ! 个 ! 网银 ! 转账,4,! 两个 ! 网 ! 银 ! 转 ! 账,5,我 想 在 两 个 网银 账户 中 转账 ， 怎么 转,我 想 在 两个 网 银 账户 中 转 账 ， 怎么 转
4660,! 个人 ! 网银,2,! 个 ! 人 ! 网 ! 银,4,个人 网银 批量 交易 如何 查询,个 人 网 银 批量 交易 如何 查询
4661,,0,,0,哪里 查 批量 结果,哪里 查 批量 结果
4662,,0,,0,哪里 看 批量 交易 信息,哪里 看 批量 交易 信息
4663,,0,,0,批量 交易 具体 信息 如何 查询,批量 交易 具体 信息 如何 查询
4664,,0,,0,批量 交易 具体 信息 怎么 看,批量 交易 具体 信息 怎么 看
4665,,0,,0,批量 结果 怎么 查询,批量 结果 怎么 查询
4666,,0,,0,批量 转 出 的 结果 通过 哪个 菜单 看,批量 转 出 的 结果 通过 哪个 菜单 看
4667,! 没 ! 有,2,! 没有,1,批量 转 出 的 怎么 有 没 有 到 账 怎么 查,批量 转 出 的 怎么 有 没有 到 账 怎么 查
4668,,0,,0,批量 转 出 怎么 没有 到 账,批量 转 出 怎么 没有 到 账
4669,,0,,0,怎么 看 批量 成功 没有,怎么 看 批量 成功 没有
4670,,0,,0,批量 转账 后 ， 在 哪 查 交易 记录,批量 转账 后 ， 在 哪 查 交易 记录
4671,,0,,0,批量 转账 后 ， 怎么 查 转账 结果,批量 转账 后 ， 怎么 查 转账 结果
4672,,0,,0,刚 批量 转账 了 ， 怎么 看 结果 如何,刚 批量 转账 了 ， 怎么 看 结果 如何
4673,,0,,0,批量 交易 是 及时 到 吗,批量 交易 是 及时 到 吗
4674,,0,,0,批量 交易 是 实时 到 吗,批量 交易 是 实时 到 吗
4675,,0,,0,批量 交易 做 得 为什么 还 没有 到 账,批量 交易 做 得 为什么 还 没有 到 账
4676,,0,,0,批量 转 出 具体 到 账 时间 呢,批量 转 出 具体 到 账 时间 呢
4677,,0,,0,批量 做 得 什么 时候 到,批量 做 得 什么 时候 到
4678,,0,,0,请问 批量 交易 到 账 时间,请问 批量 交易 到 账 时间
4679,,0,,0,请问 批量 转 什么 时间 能 到,请问 批量 转 什么 时间 能 到
4680,,0,,0,请问 批量 转账 到 账 时间,请问 批量 转账 到 账 时间
4681,,0,,0,为什么 批量 转 出 没有 到 账,为什么 批量 转 出 没有 到 账
4682,! 转款,1,! 转 ! 款,2,怎么 批量 转款 不 是 及时 到 账 吗,怎么 批量 转 款 不 是 及时 到 账 吗
4683,,0,,0,批量 转账 完成 工作 立马 到 账 吗,批量 转账 完成 工作 立马 到 账 吗
4684,,0,,0,刚 批量 转账 了 ， 怎么 还 没 到,刚 批量 转账 了 ， 怎么 还 没 到
4685,! 转账,1,! 转 ! 账,2,刚 提交 的 批量 转账 ， 怎么 还 不 扣 款,刚 提交 的 批量 转 账 ， 怎么 还 不 扣 款
4686,,0,,0,批量 转账 没 扣 款 怎么 回 事,批量 转账 没 扣 款 怎么 回 事
4687,! 对方 ! 不 ! 对,3,! 对 ! 方 ! 不对,3,对方 是 建行 的 ， 户名 不 对 能 转 出 吗,对 方 是 建行 的 ， 户名 不对 能 转 出 吗
4688,! 对方 ! 不 ! 对,3,! 对 ! 方 ! 不对,3,对方 是 郑州 银行 存折 ， 户名 不 对 能 转 出 吗,对 方 是 郑州 银行 存折 ， 户名 不对 能 转 出 吗
4689,! 对方 ! 银行卡 ! 怎么办,3,! 对 ! 方 ! 银行 ! 卡 ! 怎么 ! 办,6,对方 是 郑州 银行卡 ， 但是 户名 我 填写 不 正确 怎么办,对 方 是 郑州 银行 卡 ， 但是 户名 我 填写 不 正确 怎么 办
4690,! 对方 ! 银行卡,2,! 对 ! 方 ! 银行 ! 卡,4,对方 是 郑州 银行卡 ， 户主 名字 填 错 能 转 出 吗,对 方 是 郑州 银行 卡 ， 户主 名字 填 错 能 转 出 吗
4691,! 对方 ! 银行卡 ! 卡号,3,! 对 ! 方 ! 银行 ! 卡 ! 卡 ! 号,6,对方 是 郑州 银行卡 ， 卡号 填 错 能 转 出 吗,对 方 是 郑州 银行 卡 ， 卡 号 填 错 能 转 出 吗
4692,! 不 ! 对,2,! 不对,1,户名 不 对 能 到 账 吗,户名 不对 能 到 账 吗
4693,,0,,0,郑州 银行 账户 会 校验 吗,郑州 银行 账户 会 校验 吗
4694,! 卡号 ! 怎么办,2,! 卡 ! 号 ! 怎么 ! 办,4,钱 已经 扣 了 ， 对方 说 给 我 的 卡号 不对 怎么办,钱 已经 扣 了 ， 对方 说 给 我 的 卡 号 不对 怎么 办
4695,,0,,0,如果 我 填 的 账户 不 会 能 到 账 吗,如果 我 填 的 账户 不 会 能 到 账 吗
4696,! 不 ! 对,2,! 不对,1,他 是 郑州 银行 存折 ， 账号 不 对 能 转 出 吗,他 是 郑州 银行 存折 ， 账号 不对 能 转 出 吗
4697,! 网银 ! 行账户,2,! 网 ! 银 ! 行 ! 账户,4,在 网银 中 维护 他 行账户 ， 没 提示 错误 是 就 表示 正确 吗,在 网 银 中 维护 他 行 账户 ， 没 提示 错误 是 就 表示 正确 吗
4698,! 网银 ! 新 ! 增收 ! 款方,4,! 网 ! 银 ! 新增 ! 收款 ! 方,5,在 网银 中 新 增收 款方 ， 提示 账户 信息 有 误,在 网 银 中 新增 收款 方 ， 提示 账户 信息 有 误
4699,! 网银 ! 收款方,2,! 网 ! 银 ! 收款 ! 方,4,我 在 网银 中 填写 的 收款方 账号 不 正确 ， 怎么 没 提示 错误 呢,我 在 网 银 中 填写 的 收款 方 账号 不 正确 ， 怎么 没 提示 错误 呢
4700,,0,,0,你们 怎么 没有 维护 平安 银行,你们 怎么 没有 维护 平安 银行
4701,! 属于,1,! 属 ! 于,2,我 怎么 找 不 到 我 朋友 账户 属于 哪个 银行,我 怎么 找 不 到 我 朋友 账户 属 于 哪个 银行
4702,! 转账,1,! 转 ! 账,2,我 转账 ， 对方 银行 在 下 拉 菜单 找 不 到 呢,我 转 账 ， 对方 银行 在 下 拉 菜单 找 不 到 呢
4703,! 接收方 ! 怎么办,2,! 接收 ! 方 ! 怎么 ! 办,4,要是 找 不 到 接收方 的 银行 怎么办,要是 找 不 到 接收 方 的 银行 怎么 办
4704,,0,,0,怎么 没有 齐鲁 银行,怎么 没有 齐鲁 银行
4705,! 浙商,1,! 浙 ! 商,2,怎么 没有 浙商 银行,怎么 没有 浙 商 银行
4706,,0,,0,找 不 到 接收 资金 银行,找 不 到 接收 资金 银行
4707,,0,,0,中国 邮政 储汇局 是 邮政 银行 吗,中国 邮政 储汇局 是 邮政 银行 吗
4708,,0,,0,中国 邮政 储汇局 是 中国 邮政 储蓄 吗,中国 邮政 储汇局 是 中国 邮政 储蓄 吗
4709,! 怎么办,1,! 怎么 ! 办,2,转账 时 ， 对方 银行 没有 怎么办,转账 时 ， 对方 银行 没有 怎么 办
4710,! 转账 ! 新 ! 增收 ! 款方,4,! 转 ! 账 ! 新增 ! 收款 ! 方,5,我 要 给 信用社 转账 ， 新 增收 款方 的 时候 怎么 没有 呢,我 要 给 信用社 转 账 ， 新增 收款 方 的 时候 怎么 没有 呢
4711,! 转账 ! 行别,2,! 转 ! 账 ! 行 ! 别,4,给 他 行 转账 ， 行别 怎么 选 不 到 呢,给 他 行 转 账 ， 行 别 怎么 选 不 到 呢
4712,! 新 ! 增收 ! 款方 ! 行别,4,! 新增 ! 收款 ! 方 ! 行 ! 别,5,怎么 我 新 增收 款方 的 时候 ， 对方 行别 没有 呢,怎么 我 新增 收款 方 的 时候 ， 对方 行 别 没有 呢
4713,! 个人 ! 网银 ! 收款方 ! 看不到,4,! 个 ! 人 ! 网 ! 银 ! 收款 ! 方 ! 看 ! 不 ! 到,9,个人 网银 中 ， 收款方 里 看不到 对方 银行 名称 ， 我 该 怎么 办,个 人 网 银 中 ， 收款 方 里 看 不 到 对方 银行 名称 ， 我 该 怎么 办
4714,! 不 ! 对,2,! 不对,1,刚 维护 了 一个 信息 ， 不 对 怎么 改,刚 维护 了 一个 信息 ， 不对 怎么 改
4715,! 卡号,1,! 卡 ! 号,2,如果 填写 收款 卡号 错 了 怎么 办,如果 填写 收款 卡 号 错 了 怎么 办
4716,! 收款方,1,! 收款 ! 方,2,收款方 的 信息 能 改 吗,收款 方 的 信息 能 改 吗
4717,! 收款方,1,! 收款 ! 方,2,收款方 维护 能 做 什么,收款 方 维护 能 做 什么
4718,! 的 ! 卡号 ! 改一下,3,! 的卡 ! 号 ! 改 ! 一下,4,我 想 把 接收 的 卡号 改一下 。,我 想 把 接收 的卡 号 改 一下 。
4719,! 的 ! 卡号,2,! 的卡 ! 号,2,我 想 把 接收 的 卡号 删 了 。,我 想 把 接收 的卡 号 删 了 。
4720,! 卡号 ! 不用,2,! 卡 ! 号 ! 不 ! 用,4,有 个 转账 过 的 卡号 ， 以后 不用 了 怎么 删 掉,有 个 转账 过 的 卡 号 ， 以后 不 用 了 怎么 删 掉
4721,,0,,0,怎么 把 自己 填 的 收款 账户 删 了,怎么 把 自己 填 的 收款 账户 删 了
4722,! 删账户,1,! 删 ! 账户,2,怎么 删账户,怎么 删 账户
4723,,0,,0,怎么 修改 自己 填 的 收款 账户,怎么 修改 自己 填 的 收款 账户
4724,! 收款方 ! 网银,2,! 收款 ! 方 ! 网 ! 银,4,我 有些 收款方 不 打算 保留 了 ， 怎么 在 网银 中 删除,我 有些 收款 方 不 打算 保留 了 ， 怎么 在 网 银 中 删除
4725,! 网银 ! 收款方,2,! 网 ! 银 ! 收款 ! 方,4,之前 在 网银 转账 的 收款方 账号 怎么 删 掉,之前 在 网 银 转账 的 收款 方 账号 怎么 删 掉
4726,! 网银 ! 中 ! 保留,3,! 网 ! 银 ! 中保 ! 留,4,怎么 把 网银 中 保留 的 对方 账号 删除 掉,怎么 把 网 银 中保 留 的 对方 账号 删除 掉
4727,! 个人 ! 网银 ! 收款方,3,! 个 ! 人 ! 网 ! 银 ! 收款 ! 方,6,个人 网银 中 的 收款方 信息 填 错 了 ， 怎么 修改,个 人 网 银 中 的 收款 方 信息 填 错 了 ， 怎么 修改
4728,! 收款方,1,! 收款 ! 方,2,我 想 修改 之前 填写 的 收款方 信息,我 想 修改 之前 填写 的 收款 方 信息
4729,! 个人 ! 网银 ! 收款方,3,! 个 ! 人 ! 网 ! 银 ! 收款 ! 方,6,个人 网银 收款方 维护 能 维护 多少 个,个 人 网 银 收款 方 维护 能 维护 多少 个
4730,! 个人 ! 网银 ! 卡号,3,! 个 ! 人 ! 网 ! 银 ! 卡 ! 号,6,个人 网银 最 多 能 维护 多少 个 卡号,个 人 网 银 最 多 能 维护 多少 个 卡 号
4731,! 个人 ! 网银 ! 卡号,3,! 个 ! 人 ! 网 ! 银 ! 卡 ! 号,6,个人 网银 最 多 能 维护 多少 收款 卡号,个 人 网 银 最 多 能 维护 多少 收款 卡 号
4732,! 个人 ! 网银 ! 收款人,3,! 个 ! 人 ! 网 ! 银 ! 收款 ! 人,6,个人 网银 最 多 能 维护 多少 收款人,个 人 网 银 最 多 能 维护 多少 收款 人
4733,! 网银,1,! 网 ! 银,2,接收 的 账户 网银 能 存 多少,接收 的 账户 网 银 能 存 多少
4734,,0,,0,接收 账户 最 多 能 填 多少 个,接收 账户 最 多 能 填 多少 个
4735,! 卡号 ! 几 ! 个,3,! 卡 ! 号 ! 几个,3,收款 卡号 能 有 几 个,收款 卡 号 能 有 几个
4736,! 收款人,1,! 收款 ! 人,2,收款人 能 有 多少 个,收款 人 能 有 多少 个
4737,! 收款人,1,! 收款 ! 人,2,收款人 最 多 能 有 多少,收款 人 最 多 能 有 多少
4738,! 网银,1,! 网 ! 银,2,网银 里面 的 收款 账户 有 数量 限制 吗,网 银 里面 的 收款 账户 有 数量 限制 吗
4739,! 新 ! 增收 ! 款方,3,! 新增 ! 收款 ! 方,3,我 新 增收 款方 ， 最 多 能 维护 多少 个,我 新增 收款 方 ， 最 多 能 维护 多少 个
4740,! 个人 ! 网银,2,! 个 ! 人 ! 网 ! 银,4,个人 网银 能 填写 多少 个 对方 账户,个 人 网 银 能 填写 多少 个 对方 账户
4741,! 收款方,1,! 收款 ! 方,2,我 能 保留 多少 个 收款方 账号,我 能 保留 多少 个 收款 方 账号
4742,! 301 ! 个 ! 收款方,3,! 301个 ! 收款 ! 方,3,怎么 不 能 维护 301 个 收款方 呢,怎么 不 能 维护 301个 收款 方 呢
4743,,0,,0,河北 电费 怎么 交,河北 电费 怎么 交
4744,,0,,0,交 电话 怎么 交,交 电话 怎么 交
4745,,0,,0,交费 项目 怎么 是 空 的,交费 项目 怎么 是 空 的
4746,,0,,0,交费 信息 如何 维护,交费 信息 如何 维护
4747,,0,,0,缴费 项目 怎么 是 空 的,缴费 项目 怎么 是 空 的
4748,,0,,0,缴费 信息 如何 维护,缴费 信息 如何 维护
4749,,0,,0,网上 缴费 什么 都 没有 呢,网上 缴费 什么 都 没有 呢
4750,,0,,0,网上 缴费 是 空 的,网上 缴费 是 空 的
4751,,0,,0,为什么 交 不 了 电话费,为什么 交 不 了 电话费
4752,! 不 ! 能,2,! 不能,1,为什么 我 不 能 缴费,为什么 我 不能 缴费
4753,! 网银,1,! 网 ! 银,2,你们 的 个人 网银 怎么 交纳 电话费,你们 的 个人 网 银 怎么 交纳 电话费
4754,! 网银,1,! 网 ! 银,2,怎么 在 网银 上 缴费,怎么 在 网 银 上 缴费
4755,,0,,0,你们 电话 说 可以 在 网上 缴费 ， 我 怎么 找 不 到 在 哪 缴纳 呢,你们 电话 说 可以 在 网上 缴费 ， 我 怎么 找 不 到 在 哪 缴纳 呢
4756,,0,,0,电话费 能 交 吗,电话费 能 交 吗
4757,,0,,0,电话费 怎么 交,电话费 怎么 交
4758,,0,,0,电话费 怎么 缴,电话费 怎么 缴
4759,,0,,0,话费 能 交 吗,话费 能 交 吗
4760,,0,,0,话费 怎么 充,话费 怎么 充
4761,! 充值,1,! 充 ! 值,2,话费 怎么 充值,话费 怎么 充 值
4762,! 手机费,1,! 手机 ! 费,2,手机费 能 交 吗,手机 费 能 交 吗
4763,,0,,0,手机 话费 怎么 缴,手机 话费 怎么 缴
4764,! 充值,1,! 充 ! 值,2,手机 怎么 充值,手机 怎么 充 值
4765,! 网银,1,! 网 ! 银,2,网银 里 在 哪 交 话费,网 银 里 在 哪 交 话费
4766,! 网银 ! 交话费,2,! 网 ! 银 ! 交 ! 话费,4,怎么 能 在 网银 中 快速 的 交话费,怎么 能 在 网 银 中 快速 的 交 话费
4767,! 网银 ! 交话费,2,! 网 ! 银 ! 交 ! 话费,4,你们 有 在 网银 中 交话费 的 方法 吗,你们 有 在 网 银 中 交 话费 的 方法 吗
4768,! 充值,1,! 充 ! 值,2,快速 充值 后 大概 多久 能 到,快速 充 值 后 大概 多久 能 到
4769,! 充值 ! 钱,2,! 充 ! 值钱,2,快速 充值 钱 少 了 ， 没 到 。,快速 充 值钱 少 了 ， 没 到 。
4770,! 充值,1,! 充 ! 值,2,快速 充值 怎么 还 没有 到,快速 充 值 怎么 还 没有 到
4771,! 充值,1,! 充 ! 值,2,请问 手机 快速 充值 多久 到 账,请问 手机 快速 充 值 多久 到 账
4772,! 充值,1,! 充 ! 值,2,手机 充值 缴费 怎么 还 没 到 账,手机 充 值 缴费 怎么 还 没 到 账
4773,! 充值,1,! 充 ! 值,2,手机 充值 怎么 还 没有 成功,手机 充 值 怎么 还 没有 成功
4774,! 充值,1,! 充 ! 值,2,手机 充值 怎么 还 没有 到,手机 充 值 怎么 还 没有 到
4775,! 充钱,1,! 充 ! 钱,2,手机 快 充钱 扣 了 没 到 账,手机 快 充 钱 扣 了 没 到 账
4776,! 充值 ! 钱,2,! 充 ! 值钱,2,手机 快速 充值 钱 少 ， 话费 没有 多,手机 快速 充 值钱 少 ， 话费 没有 多
4777,! 充值,1,! 充 ! 值,2,手机 快速 充值 要 很 久 吗,手机 快速 充 值 要 很 久 吗
4778,! 网银 ! 充值,2,! 网 ! 银 ! 充 ! 值,4,刚 用 网银 的 快速 充值 给 手机 号 缴费 ， 怎么 还 不 到,刚 用 网 银 的 快速 充 值 给 手机 号 缴费 ， 怎么 还 不 到
4779,! 充值,1,! 充 ! 值,2,手机 快速 充值 应该 多久 能 查 到,手机 快速 充 值 应该 多久 能 查 到
4780,! 充值,1,! 充 ! 值,2,手机 快速 充值 出 问题 联系 哪里,手机 快速 充 值 出 问题 联系 哪里
4781,! 充值,1,! 充 ! 值,2,手机 快速 充值 出 问题 找 谁,手机 快速 充 值 出 问题 找 谁
4782,,0,,0,网上 交费 哪个 地区 有 限制 吗,网上 交费 哪个 地区 有 限制 吗
4783,,0,,0,网上 缴费 哪个 地区 有 限制 吗,网上 缴费 哪个 地区 有 限制 吗
4784,! 网银,1,! 网 ! 银,2,网银 交费 哪个 省市 都 支持 吗,网 银 交费 哪个 省市 都 支持 吗
4785,! 网银,1,! 网 ! 银,2,网银 缴费 都 支持 吗,网 银 缴费 都 支持 吗
4786,! 网银,1,! 网 ! 银,2,网银 缴费 哪个 地区 都 行 吗,网 银 缴费 哪个 地区 都 行 吗
4787,! 网银,1,! 网 ! 银,2,网银 缴费 哪个 地区 都 支持 吗,网 银 缴费 哪个 地区 都 支持 吗
4788,! 网银,1,! 网 ! 银,2,网银 缴费 哪个 省市 都 支持 吗,网 银 缴费 哪个 省市 都 支持 吗
4789,! 网银,1,! 网 ! 银,2,网银 缴费 什么 要 注意 什么,网 银 缴费 什么 要 注意 什么
4790,! 网银,1,! 网 ! 银,2,我 的 网银 缴纳 哪个 地区 的 话费 都 行 吗,我 的 网 银 缴纳 哪个 地区 的 话费 都 行 吗
4791,,0,,0,我 是 河北 的 卡 能 交 北京 的 电费 吗,我 是 河北 的 卡 能 交 北京 的 电费 吗
4792,! 网银,1,! 网 ! 银,2,通过 网银 能 缴纳 什么 范围 的 费用,通过 网 银 能 缴纳 什么 范围 的 费用
4793,! 网银,1,! 网 ! 银,2,你们 网银 中 的 网上 缴费 功能 ， 能 交 哪里 的 费用,你们 网 银 中 的 网上 缴费 功能 ， 能 交 哪里 的 费用
4794,! 网银,1,! 网 ! 银,2,我 能 在 网银 中 缴纳 其他 地区 的 费用 吗,我 能 在 网 银 中 缴纳 其他 地区 的 费用 吗
4795,! 网银,1,! 网 ! 银,2,我 网银 是 在 本地 办 的 ， 我 要 交 其他 省 市 的 费用 ， 有 影响 吗,我 网 银 是 在 本地 办 的 ， 我 要 交 其他 省 市 的 费用 ， 有 影响 吗
4796,,0,,0,交 电话 能 有 发票 吗,交 电话 能 有 发票 吗
4797,,0,,0,网上 的 缴费 有 发票 吗,网上 的 缴费 有 发票 吗
4798,,0,,0,网上 交 的 电费 发票 怎么 打,网上 交 的 电费 发票 怎么 打
4799,,0,,0,网上 交费 的 发票 哪里 能 提供,网上 交费 的 发票 哪里 能 提供
4800,,0,,0,网上 交费 能 提供 发票 吗,网上 交费 能 提供 发票 吗
4801,,0,,0,网上 交费 有 发票 吗,网上 交费 有 发票 吗
4802,,0,,0,网上 缴费 的 发票 哪里 能 提供,网上 缴费 的 发票 哪里 能 提供
4803,,0,,0,网上 缴费 能 提供 发票 吗,网上 缴费 能 提供 发票 吗
4804,! 网银 ! 完费 ! 打 ! 印发 ! 票,5,! 网 ! 银 ! 完 ! 费 ! 打印 ! 发票,6,网银 缴 完费 怎么 能 打 印发 票,网 银 缴 完 费 怎么 能 打印 发票
4805,! 网银,1,! 网 ! 银,2,我 刚 用 网银 交费 ， 如何 打印 发票,我 刚 用 网 银 交费 ， 如何 打印 发票
4806,! 网银,1,! 网 ! 银,2,你们 银行 会 提供 网银 中 缴费 的 凭证 吗,你们 银行 会 提供 网 银 中 缴费 的 凭证 吗
4807,! 错账,1,! 错 ! 账,2,错账 了 如果 查询 订单 信息,错 账 了 如果 查询 订单 信息
4808,! 错账,1,! 错 ! 账,2,错账 了 如何 查询 订单 编号,错 账 了 如何 查询 订单 编号
4809,,0,,0,订单 编号 是 什么,订单 编号 是 什么
4810,! 订单号,1,! 订单 ! 号,2,订单号 是 什么,订单 号 是 什么
4811,,0,,0,能 帮 我 查 一下 订单 编号 吗,能 帮 我 查 一下 订单 编号 吗
4812,,0,,0,能 帮 我 查 一下 订单 号 吗,能 帮 我 查 一下 订单 号 吗
4813,,0,,0,请问 如何 查找 订单 信息,请问 如何 查找 订单 信息
4814,! 订单号,1,! 订单 ! 号,2,什么 是 订单号 、 编号,什么 是 订单 号 、 编号
4815,,0,,0,什么 是 订单 号,什么 是 订单 号
4816,! 宝钱 ! 商户,2,! 宝 ! 钱 ! 商 ! 户,4,支付 宝钱 扣 了 ， 商户 没有 收到 ， 如果 查询 订单,支付 宝 钱 扣 了 ， 商 户 没有 收到 ， 如果 查询 订单
4817,! 网银 ! K,2,! 网 ! 银 ! k,3,我 刚 通过 网银 K 宝 支付 进行 付款 ， 有 付款 记录 吗,我 刚 通过 网 银 k 宝 支付 进行 付款 ， 有 付款 记录 吗
4818,! K,1,! k,1,K 令 支付 后 有 记录 吗,k 令 支付 后 有 记录 吗
4819,! 多久,1,! 多 ! 久,2,网上 支付 交易 查询 能 查 多久 的 记录,网上 支付 交易 查询 能 查 多 久 的 记录
4820,,0,,0,证书 支付 的 记录 怎么 查询,证书 支付 的 记录 怎么 查询
4821,! 贷记卡 ! 可以 ! 网银,3,! 贷 ! 记 ! 卡 ! 可 ! 以 ! 网 ! 银,7,郑州 银行 贷记卡 可以 绑 网银 吗,郑州 银行 贷 记 卡 可 以 绑 网 银 吗
4822,! 贷记卡,1,! 贷 ! 记 ! 卡,3,郑州 银行 贷记卡 如何 维护 上网 银,郑州 银行 贷 记 卡 如何 维护 上网 银
4823,! 借贷卡 ! 绑定 ! 网银,3,! 借贷 ! 卡 ! 绑 ! 定 ! 网 ! 银,6,郑州 银行 的 借贷卡 能 绑定 网银 吗,郑州 银行 的 借贷 卡 能 绑 定 网 银 吗
4824,! 网银,1,! 网 ! 银,2,郑州 银行 信用卡 能 加 到 网银 吗,郑州 银行 信用卡 能 加 到 网 银 吗
4825,! 网银,1,! 网 ! 银,2,网银 添加 信用卡 具体 步骤,网 银 添加 信用卡 具体 步骤
4826,! 网银,1,! 网 ! 银,2,网银 维护 信用卡 具体 步骤,网 银 维护 信用卡 具体 步骤
4827,! 一 ! 张,2,! 一张,1,我 有 一 张 郑州 银行 信用卡 ， 怎么 添加,我 有 一张 郑州 银行 信用卡 ， 怎么 添加
4828,! 一 ! 张,2,! 一张,1,我 有 一 张 郑州 银行 信用卡 ， 怎么 维护 到 网上,我 有 一张 郑州 银行 信用卡 ， 怎么 维护 到 网上
4829,! 一 ! 张 ! 网银,3,! 一张 ! 网 ! 银,3,我 有 一 张 郑州 银行 信用卡 ， 怎么 维护 到 网银,我 有 一张 郑州 银行 信用卡 ， 怎么 维护 到 网 银
4830,,0,,0,信用卡 哪个 菜单 可以 添加 郑州 银行 信用卡,信用卡 哪个 菜单 可以 添加 郑州 银行 信用卡
4831,! 网银 ! 贷记卡,2,! 网 ! 银 ! 贷 ! 记 ! 卡,5,怎么 在 网银 中 添加 贷记卡,怎么 在 网 银 中 添加 贷 记 卡
4832,! 张贷记卡 ! 网银,2,! 张 ! 贷 ! 记 ! 卡 ! 网 ! 银,6,我 有 张贷记卡 ， 怎么 追加 到 网银 上,我 有 张 贷 记 卡 ， 怎么 追加 到 网 银 上
4833,! 记卡 ! 还款,2,! 记 ! 卡 ! 还 ! 款,4,我 用 网 银贷 记卡 还款 提示 我 要 登记 ， 怎么 登记,我 用 网 银贷 记 卡 还 款 提示 我 要 登记 ， 怎么 登记
4834,,0,,0,帮 我 开 一下 信用卡 支付 功能,帮 我 开 一下 信用卡 支付 功能
4835,,0,,0,帮 我 开 一下 信用卡 支付 业务,帮 我 开 一下 信用卡 支付 业务
4836,! 贷记卡,1,! 贷 ! 记 ! 卡,3,贷记卡 网上 可以 直接 买 东西 吗,贷 记 卡 网上 可以 直接 买 东西 吗
4837,! 贷记卡,1,! 贷 ! 记 ! 卡,3,贷记卡 网上 可以 直接 支付 吗,贷 记 卡 网上 可以 直接 支付 吗
4838,! 卡网 ! 上,2,! 卡 ! 网上,2,借贷 卡网 上 买 东西 要 开通 那个 功能,借贷 卡 网上 买 东西 要 开通 那个 功能
4839,! 借贷卡,1,! 借贷 ! 卡,2,借贷卡 怎么 在 网上 买 东西,借贷 卡 怎么 在 网上 买 东西
4840,! 绑定 ! 支付宝,2,! 绑 ! 定 ! 支付 ! 宝,4,信用卡 绑定 支付宝 怎么 弄,信用卡 绑 定 支付 宝 怎么 弄
4841,,0,,0,信用卡 网上 买 东西 功能 怎么 关闭,信用卡 网上 买 东西 功能 怎么 关闭
4842,! 贷记卡,1,! 贷 ! 记 ! 卡,3,怎么 开通 贷记卡 网上 支付,怎么 开通 贷 记 卡 网上 支付
4843,,0,,0,怎么 开通 信用卡 网上 支付,怎么 开通 信用卡 网上 支付
4844,! 贷记卡,1,! 贷 ! 记 ! 卡,3,我 的 贷记卡 想 网上 支付 ， 怎么 开通 支付 功能,我 的 贷 记 卡 想 网上 支付 ， 怎么 开通 支付 功能
4845,! 贷记卡,1,! 贷 ! 记 ! 卡,3,我 怎么 关闭 贷记卡 网上 付款 的 功能,我 怎么 关闭 贷 记 卡 网上 付款 的 功能
4846,! 网银 ! 贷记卡,2,! 网 ! 银 ! 贷 ! 记 ! 卡,5,网银 能 看到 别人 贷记卡 账单 吗,网 银 能 看到 别人 贷 记 卡 账单 吗
4847,! 网银,1,! 网 ! 银,2,网银 能 看到 别人 信用卡 账单 吗,网 银 能 看到 别人 信用卡 账单 吗
4848,! 网银 ! 看不到,2,! 网 ! 银 ! 看 ! 不 ! 到,5,网银 为什么 看不到 新 添加 的 信用卡 交易 呢,网 银 为什么 看 不 到 新 添加 的 信用卡 交易 呢
4849,! 网银 ! 看不到,2,! 网 ! 银 ! 看 ! 不 ! 到,5,网银 为什么 看不到 新 维护 的 信用卡 交易 呢,网 银 为什么 看 不 到 新 维护 的 信用卡 交易 呢
4850,,0,,0,信用卡 查询 不 显示 具体 交易 信息,信用卡 查询 不 显示 具体 交易 信息
4851,,0,,0,信用卡 是 查 不 了 别人 的 卡 交易 吗,信用卡 是 查 不 了 别人 的 卡 交易 吗
4852,,0,,0,信用卡 是 只能 查询 本人 账户 吗,信用卡 是 只能 查询 本人 账户 吗
4853,,0,,0,信用卡 是 只能 查询 自己 的 账户 吗,信用卡 是 只能 查询 自己 的 账户 吗
4854,! 差不了,1,! 差 ! 不 ! 了,3,怎么 新 维护 的 信用卡 差不了 交易 记录,怎么 新 维护 的 信用卡 差 不 了 交易 记录
4855,! 差不了,1,! 差 ! 不 ! 了,3,怎么 新 维护 的 信用卡 差不了 消费 记录,怎么 新 维护 的 信用卡 差 不 了 消费 记录
